SUB_CLASS,CATEGORY,MAIN_CLASS,KMD,ROW_COUNT,GENERAL_ABBREVIATION,ASSOCIATED_LIPID_MAPS_EXAMPLES
Oxidized glycerophosphocholines [GP2001],Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],0.7067,3,PC X:1;O,"['PC 21:1;O', 'PC 25:1;O', 'PC 20:1;O']"
Oxidized glycerophosphocholines [GP2001],Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],0.6838,3,PC X:1;O2,"['PC 21:1;O2', 'PC 25:1;O2', 'PC 20:1;O2']"
Oxidized glycerophosphocholines [GP2001],Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],0.6474,3,PC X:2;O3,"['PC 23:2;O3', 'PC 24:2;O3', 'PC 28:2;O3']"
"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",Glycerophospholipids [GP],Glycerophosphoethanolamines [GP02],0.7794,34,PE O-X:0,"['PE O-36:0', 'PE O-36:0', 'PE O-38:0', 'PE O-38:0', 'PE O-40:0', 'PE O-28:0', 'PE O-29:0', 'PE O-30:0', 'PE O-31:0', 'PE O-37:0', 'PE O-30:0', 'PE O-31:0', 'PE O-32:0', 'PE O-33:0', 'PE O-35:0', 'PE O-37:0', 'PE O-39:0', 'PE O-32:0', 'PE O-33:0', 'PE O-34:0', 'PE O-35:0', 'PE O-37:0', 'PE O-38:0', 'PE O-39:0', 'PE O-40:0', 'PE O-41:0', 'PE O-42:0', 'PE O-36:0', 'PE O-34:0', 'PE O-35:0', 'PE O-34:0', 'PE O-33:0', 'PE O-32:0', 'PE O-30:0']"
Dialkylglycerophosphoethanolamines [GP0204],Glycerophospholipids [GP],Glycerophosphoethanolamines [GP02],0.7928,1,PE dO-X:0,['PE dO-40:0']
"1-(1Z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]",Glycerophospholipids [GP],Glycerophosphoethanolamines [GP02],0.766,34,PE O-X:1,"['PE O-28:1', 'PE O-29:1', 'PE O-30:1', 'PE O-31:1', 'PE O-32:1', 'PE O-33:1', 'PE O-34:1', 'PE O-35:1', 'PE O-36:1', 'PE O-37:1', 'PE O-38:1', 'PE O-30:1', 'PE O-31:1', 'PE O-32:1', 'PE O-33:1', 'PE O-34:1', 'PE O-35:1', 'PE O-36:1', 'PE O-37:1', 'PE O-38:1', 'PE O-39:1', 'PE O-40:1', 'PE O-32:1', 'PE O-33:1', 'PE O-34:1', 'PE O-35:1', 'PE O-36:1', 'PE O-37:1', 'PE O-38:1', 'PE O-39:1', 'PE O-40:1', 'PE O-41:1', 'PE O-42:1', 'PE O-30:1']"
"1-acyl,2-alkylglycerophosphoethanolamines [GP0208]",Glycerophospholipids [GP],Glycerophosphoethanolamines [GP02],0.7258,2,PE O-X:4,"['PE O-37:4', 'PE O-34:4']"
Dialkylglycerophosphoethanolamines [GP0204],Glycerophospholipids [GP],Glycerophosphoethanolamines [GP02],0.7621,1,PE dO-X:4,['PE dO-34:4']
Diacylglycerophosphoethanolamines [GP0201],Glycerophospholipids [GP],Glycerophosphoethanolamines [GP02],0.7431,144,PE X:0,"['PE 25:0', 'PE 28:0', 'PE 32:0', 'PE 26:0', 'PE 37:0', 'PE 38:0', 'PE 42:0', 'PE 36:0', 'PE 24:0', 'PE 20:0', 'PE 16:0', 'PE 12:0', 'PE 30:0', 'PE 38:0', 'PE 38:0', 'PE 40:0', 'PE 44:0', 'PE 44:0', 'PE 35:0', 'PE 35:0', 'PE 26:0', 'PE 36:0', 'PE 30:0', 'PE 30:0', 'PE 28:0', 'PE-NMe2 24:0', 'PE-NMe2 28:0', 'PE-NMe2 36:0', 'PE-NMe2 40:0', 'PE-NMe2 32:0', 'PE-NMe 32:0', 'PE-NMe 24:0', 'PE-NMe 28:0', 'PE-NMe 36:0', 'PE-NMe 40:0', 'PE-NMe 22:0', 'PE 28:0', 'PE 35:0', 'PE 27:0', 'PE 29:0', 'PE 31:0', 'PE 33:0', 'PE 25:0', 'PE 27:0', 'PE 29:0', 'PE 31:0', 'PE 35:0', 'PE 27:0', 'PE 31:0', 'PE 33:0', 'PE 35:0', 'PE 27:0', 'PE 29:0', 'PE 35:0', 'PE 37:0', 'PE 29:0', 'PE 37:0', 'PE 29:0', 'PE 31:0', 'PE 33:0', 'PE 36:0', 'PE 38:0', 'PE 39:0', 'PE 31:0', 'PE 33:0', 'PE 35:0', 'PE 37:0', 'PE 39:0', 'PE 36:0', 'PE 39:0', 'PE 40:0', 'PE 41:0', 'PE 35:0', 'PE 37:0', 'PE 39:0', 'PE 41:0', 'PE 36:0', 'PE 37:0', 'PE 38:0', 'PE 40:0', 'PE 41:0', 'PE 43:0', 'PE 37:0', 'PE 38:0', 'PE 39:0', 'PE 41:0', 'PE 42:0', 'PE 43:0', 'PE 40:0', 'PE 36:0', 'PE 35:0', 'PE 34:0', 'PE 42:0', 'PE 39:0', 'PE 35:0', 'PE 34:0', 'PE 33:0', 'PE 40:0', 'PE 36:0', 'PE 34:0', 'PE 33:0', 'PE 32:0', 'PE 38:0', 'PE 37:0', 'PE 34:0', 'PE 33:0', 'PE 32:0', 'PE 31:0', 'PE 34:0', 'PE 32:0', 'PE 30:0', 'PE 35:0', 'PE 34:0', 'PE 32:0', 'PE 30:0', 'PE 34:0', 'PE 33:0', 'PE 31:0', 'PE 36:0', 'PE 34:0', 'PE 33:0', 'PE 32:0', 'PE 31:0', 'PE 28:0', 'PE 36:0', 'PE 34:0', 'PE 32:0', 'PE 29:0', 'PE 26:0', 'PE 34:0', 'PE 33:0', 'PE 32:0', 'PE 30:0', 'PE 28:0', 'PE 34:0', 'PE 32:0', 'PE 30:0', 'PE 28:0', 'PE 28:0', 'PE 26:0', 'PE 30:0', 'PE 29:0', 'PE 32:0', 'PE 30:0']"
Oxidized glycerophosphoethanolamines [GP2002],Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],0.7067,3,PE X:1;O,"['PE 25:1;O', 'PE 21:1;O', 'PE 20:1;O']"
Oxidized glycerophosphoethanolamines [GP2002],Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],0.6838,3,PE X:1;O2,"['PE 25:1;O2', 'PE 21:1;O2', 'PE 20:1;O2']"
Oxidized glycerophosphoethanolamines [GP2002],Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],0.6474,3,PE X:2;O3,"['PE 23:2;O3', 'PE 24:2;O3', 'PE 28:2;O3']"
"1-(1Z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]",Glycerophospholipids [GP],Glycerophosphoethanolamines [GP02],0.6627,2,PE-N[FA] X:6,"['PE-N[FA] 54:6', 'PE-N[FA] 56:6']"
Diacylglycerophosphoethanols [GP2301],Glycerophospholipids [GP],Glycerophosphoethanols [GP23],0.7355,2,PEth X:1,"['PEth 34:1', 'PEth 36:1']"
"1-alkyl,2-acylglycerophosphoglycerols [GP0402]",Glycerophospholipids [GP],Glycerophosphoglycerols [GP04],0.7394,33,PG O-X:0,"['PG O-28:0', 'PG O-29:0', 'PG O-30:0', 'PG O-31:0', 'PG O-37:0', 'PG O-30:0', 'PG O-31:0', 'PG O-32:0', 'PG O-33:0', 'PG O-35:0', 'PG O-37:0', 'PG O-39:0', 'PG O-32:0', 'PG O-33:0', 'PG O-34:0', 'PG O-35:0', 'PG O-37:0', 'PG O-38:0', 'PG O-39:0', 'PG O-40:0', 'PG O-41:0', 'PG O-42:0', 'PG O-36:0', 'PG O-34:0', 'PG O-35:0', 'PG O-34:0', 'PG O-33:0', 'PG O-32:0', 'PG O-40:0', 'PG O-38:0', 'PG O-36:0', 'PG O-38:0', 'PG O-36:0']"
Dialkylglycerophosphoglycerols [GP0404],Glycerophospholipids [GP],Glycerophosphoglycerols [GP04],0.7757,1,PG O-X:0,['PG dO-40:0']
"1-(1Z-alkenyl),2-acylglycerophosphoglycerols [GP0403]",Glycerophospholipids [GP],Glycerophosphoglycerols [GP04],0.726,33,PG O-X:1,"['PG O-28:1', 'PG O-29:1', 'PG O-30:1', 'PG O-31:1', 'PG O-32:1', 'PG O-33:1', 'PG O-34:1', 'PG O-35:1', 'PG O-36:1', 'PG O-37:1', 'PG O-38:1', 'PG O-30:1', 'PG O-31:1', 'PG O-32:1', 'PG O-33:1', 'PG O-34:1', 'PG O-35:1', 'PG O-36:1', 'PG O-37:1', 'PG O-38:1', 'PG O-39:1', 'PG O-40:1', 'PG O-32:1', 'PG O-33:1', 'PG O-34:1', 'PG O-35:1', 'PG O-36:1', 'PG O-37:1', 'PG O-38:1', 'PG O-39:1', 'PG O-40:1', 'PG O-41:1', 'PG O-42:1']"
Dialkylglycerophosphoglycerols [GP0404],Glycerophospholipids [GP],Glycerophosphoglycerols [GP04],0.7528,1,PG dO-X:10;1,['PG dO-40:10;1']
"1-acyl,2-alkylglycerophosphoglycerols [GP0411]",Glycerophospholipids [GP],Glycerophosphoglycerols [GP04],0.6858,1,PG O-X:4,['PG O-34:4']
Diacylglycerophosphoglycerols [GP0401],Glycerophospholipids [GP],Glycerophosphoglycerols [GP04],0.703,129,PG X:0,"['PG 25:0', 'PG 28:0', 'PG 30:0', 'PG 30:0', 'PG 28:0', 'PG 32:0', 'PG 12:0', 'PG 16:0', 'PG 20:0', 'PG 24:0', 'PG 36:0', 'PG 27:0', 'PG 29:0', 'PG 31:0', 'PG 33:0', 'PG 25:0', 'PG 27:0', 'PG 29:0', 'PG 31:0', 'PG 35:0', 'PG 27:0', 'PG 31:0', 'PG 33:0', 'PG 35:0', 'PG 27:0', 'PG 29:0', 'PG 35:0', 'PG 37:0', 'PG 29:0', 'PG 37:0', 'PG 29:0', 'PG 31:0', 'PG 33:0', 'PG 36:0', 'PG 38:0', 'PG 39:0', 'PG 31:0', 'PG 33:0', 'PG 35:0', 'PG 37:0', 'PG 39:0', 'PG 36:0', 'PG 39:0', 'PG 40:0', 'PG 41:0', 'PG 35:0', 'PG 37:0', 'PG 39:0', 'PG 41:0', 'PG 36:0', 'PG 37:0', 'PG 38:0', 'PG 40:0', 'PG 41:0', 'PG 43:0', 'PG 37:0', 'PG 38:0', 'PG 39:0', 'PG 41:0', 'PG 42:0', 'PG 43:0', 'PG 40:0', 'PG 36:0', 'PG 35:0', 'PG 34:0', 'PG 42:0', 'PG 39:0', 'PG 35:0', 'PG 34:0', 'PG 33:0', 'PG 40:0', 'PG 36:0', 'PG 34:0', 'PG 33:0', 'PG 32:0', 'PG 38:0', 'PG 37:0', 'PG 34:0', 'PG 33:0', 'PG 32:0', 'PG 31:0', 'PG 34:0', 'PG 30:0', 'PG 35:0', 'PG 34:0', 'PG 32:0', 'PG 30:0', 'PG 34:0', 'PG 33:0', 'PG 31:0', 'PG 36:0', 'PG 34:0', 'PG 33:0', 'PG 32:0', 'PG 31:0', 'PG 28:0', 'PG 36:0', 'PG 34:0', 'PG 32:0', 'PG 29:0', 'PG 26:0', 'PG 34:0', 'PG 33:0', 'PG 32:0', 'PG 30:0', 'PG 28:0', 'PG 34:0', 'PG 32:0', 'PG 30:0', 'PG 28:0', 'PG 44:0', 'PG 42:0', 'PG 38:0', 'PG 35:0', 'PG 38:0', 'PG 37:0', 'PG 38:0', 'PG 36:0', 'PG 35:0', 'PG 30:0', 'PG 26:0', 'PG 26:0', 'PG 40:0', 'PG 32:0', 'PG 24:0', 'PG 30:0', 'PG 30:0', 'PG 30:0', 'PG 30:0']"
Oxidized glycerophosphoglycerols [GP2006],Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],0.6667,3,PG X:1;O,"['PG 25:1;O', 'PG 21:1;O', 'PG 20:1;O']"
Oxidized glycerophosphoglycerols [GP2006],Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],0.6437,3,PG X:1;O2,"['PG 25:1;O2', 'PG 21:1;O2', 'PG 20:1;O2']"
Oxidized glycerophosphoglycerols [GP2006],Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],0.6074,3,PG X:2;O3,"['PG 28:2;O3', 'PG 24:2;O3', 'PG 23:2;O3']"
Diacylglycerophosphoglycerophosphates [GP0501],Glycerophospholipids [GP],Glycerophosphoglycerophosphates [GP05],0.5667,2,PGP X:1,"['PGP 34:1', 'PGP 34:1']"
"1-alkyl,2-acylglycerophosphoinositols [GP0602]",Glycerophospholipids [GP],Glycerophosphoinositols [GP06],0.6571,33,PI O-X:0,"['PI O-28:0', 'PI O-29:0', 'PI O-30:0', 'PI O-31:0', 'PI O-37:0', 'PI O-30:0', 'PI O-31:0', 'PI O-32:0', 'PI O-33:0', 'PI O-35:0', 'PI O-37:0', 'PI O-39:0', 'PI O-32:0', 'PI O-33:0', 'PI O-34:0', 'PI O-35:0', 'PI O-37:0', 'PI O-38:0', 'PI O-39:0', 'PI O-40:0', 'PI O-41:0', 'PI O-42:0', 'PI O-36:0', 'PI O-34:0', 'PI O-35:0', 'PI O-34:0', 'PI O-33:0', 'PI O-32:0', 'PI O-40:0', 'PI O-38:0', 'PI O-36:0', 'PI O-38:0', 'PI O-36:0']"
Dialkylglycerophosphoinositols [GP0604],Glycerophospholipids [GP],Glycerophosphoinositols [GP06],0.6935,1,PI dO-X:0,['PI dO-41:0']
"1-(1Z-alkenyl),2-acylglycerophosphoinositols [GP0603]",Glycerophospholipids [GP],Glycerophosphoinositols [GP06],0.6437,33,PI O-X:1,"['PI O-28:1', 'PI O-29:1', 'PI O-30:1', 'PI O-31:1', 'PI O-32:1', 'PI O-33:1', 'PI O-34:1', 'PI O-35:1', 'PI O-36:1', 'PI O-37:1', 'PI O-38:1', 'PI O-30:1', 'PI O-31:1', 'PI O-32:1', 'PI O-33:1', 'PI O-34:1', 'PI O-35:1', 'PI O-36:1', 'PI O-37:1', 'PI O-38:1', 'PI O-39:1', 'PI O-40:1', 'PI O-32:1', 'PI O-33:1', 'PI O-34:1', 'PI O-35:1', 'PI O-36:1', 'PI O-37:1', 'PI O-38:1', 'PI O-39:1', 'PI O-40:1', 'PI O-41:1', 'PI O-42:1']"
Diacylglycerophosphoinositols [GP0601],Glycerophospholipids [GP],Glycerophosphoinositols [GP06],0.6208,123,PI X:0,"['PI 25:0', 'PI 32:0', 'PI 36:0', 'PI 27:0', 'PI 29:0', 'PI 31:0', 'PI 33:0', 'PI 25:0', 'PI 27:0', 'PI 29:0', 'PI 31:0', 'PI 35:0', 'PI 27:0', 'PI 31:0', 'PI 33:0', 'PI 35:0', 'PI 27:0', 'PI 29:0', 'PI 35:0', 'PI 37:0', 'PI 29:0', 'PI 37:0', 'PI 29:0', 'PI 31:0', 'PI 33:0', 'PI 36:0', 'PI 38:0', 'PI 39:0', 'PI 31:0', 'PI 33:0', 'PI 35:0', 'PI 37:0', 'PI 39:0', 'PI 36:0', 'PI 39:0', 'PI 40:0', 'PI 41:0', 'PI 35:0', 'PI 37:0', 'PI 39:0', 'PI 41:0', 'PI 36:0', 'PI 37:0', 'PI 38:0', 'PI 40:0', 'PI 41:0', 'PI 43:0', 'PI 37:0', 'PI 38:0', 'PI 39:0', 'PI 41:0', 'PI 42:0', 'PI 43:0', 'PI 40:0', 'PI 36:0', 'PI 35:0', 'PI 34:0', 'PI 42:0', 'PI 39:0', 'PI 35:0', 'PI 34:0', 'PI 33:0', 'PI 40:0', 'PI 36:0', 'PI 34:0', 'PI 33:0', 'PI 32:0', 'PI 38:0', 'PI 37:0', 'PI 34:0', 'PI 33:0', 'PI 32:0', 'PI 31:0', 'PI 34:0', 'PI 32:0', 'PI 30:0', 'PI 35:0', 'PI 34:0', 'PI 32:0', 'PI 30:0', 'PI 34:0', 'PI 33:0', 'PI 31:0', 'PI 36:0', 'PI 34:0', 'PI 33:0', 'PI 32:0', 'PI 31:0', 'PI 28:0', 'PI 36:0', 'PI 34:0', 'PI 32:0', 'PI 29:0', 'PI 26:0', 'PI 34:0', 'PI 33:0', 'PI 32:0', 'PI 30:0', 'PI 28:0', 'PI 34:0', 'PI 32:0', 'PI 30:0', 'PI 28:0', 'PI 44:0', 'PI 42:0', 'PI 38:0', 'PI 35:0', 'PI 38:0', 'PI 37:0', 'PI 38:0', 'PI 36:0', 'PI 35:0', 'PI 30:0', 'PI 28:0', 'PI 30:0', 'PI 30:0', 'PI 26:0', 'PI 26:0', 'PI 40:0', 'PI 28:0', 'PI 24:0', 'PI 26:0', 'PI 28:0']"
Oxidized glycerophosphoinositols [GP2005],Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],0.5844,3,PI X:1,"['PI 22:1', 'PI 21:1', 'PI 25:1;O']"
Oxidized glycerophosphoinositols [GP2005],Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],0.5615,3,PI X:1;O2,"['PI 25:1;O2', 'PI 22:1;O', 'PI 21:1;O']"
Oxidized glycerophosphoinositols [GP2005],Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],0.5252,3,PI X:2;O3,"['PI 28:2;O3', 'PI 24:2;O3', 'PI 23:2;O3']"
Diacylglycerophosphoinositolglycans [GP1501],Glycerophospholipids [GP],Glycerophosphoinositolglycans [GP15],0.4927,12,PIM1 X:0,"['PIM1 30:0', 'PIM1 32:0', 'PIM1 34:0', 'PIM1 31:0', 'PIM1 33:0', 'PIM1 35:0', 'PIM1 32:0', 'PIM1 34:0', 'PIM1 36:0', 'PIM1 33:0', 'PIM1 35:0', 'PIM1 37:0']"
Diacylglycerophosphoinositolglycans [GP1501],Glycerophospholipids [GP],Glycerophosphoinositolglycans [GP15],0.3645,12,PIM2 X:0,"['PIM2 30:0', 'PIM2 32:0', 'PIM2 34:0', 'PIM2 31:0', 'PIM2 33:0', 'PIM2 35:0', 'PIM2 32:0', 'PIM2 34:0', 'PIM2 36:0', 'PIM2 33:0', 'PIM2 35:0', 'PIM2 37:0']"
Diacylglycerophosphoinositolglycans [GP1501],Glycerophospholipids [GP],Glycerophosphoinositolglycans [GP15],0.2364,12,PIM3 X:0,"['PIM3 30:0', 'PIM3 32:0', 'PIM3 34:0', 'PIM3 31:0', 'PIM3 33:0', 'PIM3 35:0', 'PIM3 32:0', 'PIM3 34:0', 'PIM3 36:0', 'PIM3 33:0', 'PIM3 35:0', 'PIM3 37:0']"
Diacylglycerophosphoinositolglycans [GP1501],Glycerophospholipids [GP],Glycerophosphoinositolglycans [GP15],0.1083,12,PIM4 X:0,"['PIM4 30:0', 'PIM4 32:0', 'PIM4 34:0', 'PIM4 31:0', 'PIM4 33:0', 'PIM4 35:0', 'PIM4 32:0', 'PIM4 34:0', 'PIM4 36:0', 'PIM4 33:0', 'PIM4 35:0', 'PIM4 37:0']"
Diacylglycerophosphoinositolglycans [GP1501],Glycerophospholipids [GP],Glycerophosphoinositolglycans [GP15],0.9802,12,PIM5 X:0,"['PIM5 30:0', 'PIM5 32:0', 'PIM5 34:0', 'PIM5 31:0', 'PIM5 33:0', 'PIM5 35:0', 'PIM5 32:0', 'PIM5 34:0', 'PIM5 36:0', 'PIM5 33:0', 'PIM5 35:0', 'PIM5 37:0']"
Diacylglycerophosphoinositolglycans [GP1501],Glycerophospholipids [GP],Glycerophosphoinositolglycans [GP15],0.852,12,PIM6 X:0,"['PIM6 30:0', 'PIM6 32:0', 'PIM6 34:0', 'PIM6 31:0', 'PIM6 33:0', 'PIM6 35:0', 'PIM6 32:0', 'PIM6 34:0', 'PIM6 36:0', 'PIM6 33:0', 'PIM6 35:0', 'PIM6 37:0']"
Diacylglycerophosphoinositol monophosphates [GP0701],Glycerophospholipids [GP],Glycerophosphoinositol monophosphates [GP07],0.4844,1,PIP X:1,['PIP 34:1']
Diacylglycerophosphoinositol bisphosphates [GP0801],Glycerophospholipids [GP],Glycerophosphoinositol bisphosphates [GP08],0.3749,1,PIP2 X:0,['PIP2 16:0']
Diacylglycerophosphoinositol trisphosphates [GP0901],Glycerophospholipids [GP],Glycerophosphoinositol trisphosphates [GP09],0.1983,1,PIP3 X:4,['PIP3 37:4']
Diacylglyceropyrophosphates [GP1101],Glycerophospholipids [GP],Glyceropyrophosphates [GP11],0.6126,1,PPA X:1,['PPA 34:1']
"1-alkyl,2-acylglycerophosphoserines [GP0302]",Glycerophospholipids [GP],Glycerophosphoserines [GP03],0.7201,33,PS O-X:0,"['PS O-28:0', 'PS O-29:0', 'PS O-30:0', 'PS O-31:0', 'PS O-37:0', 'PS O-30:0', 'PS O-31:0', 'PS O-32:0', 'PS O-33:0', 'PS O-35:0', 'PS O-37:0', 'PS O-39:0', 'PS O-32:0', 'PS O-33:0', 'PS O-34:0', 'PS O-35:0', 'PS O-37:0', 'PS O-38:0', 'PS O-39:0', 'PS O-40:0', 'PS O-41:0', 'PS O-42:0', 'PS O-36:0', 'PS O-34:0', 'PS O-35:0', 'PS O-34:0', 'PS O-33:0', 'PS O-32:0', 'PS O-40:0', 'PS O-38:0', 'PS O-36:0', 'PS O-38:0', 'PS O-36:0']"
"1-(1Z-alkenyl),2-acylglycerophosphoserines [GP0303]",Glycerophospholipids [GP],Glycerophosphoserines [GP03],0.7067,33,PS O-X:1,"['PS O-28:1', 'PS O-29:1', 'PS O-30:1', 'PS O-31:1', 'PS O-32:1', 'PS O-33:1', 'PS O-34:1', 'PS O-35:1', 'PS O-36:1', 'PS O-37:1', 'PS O-38:1', 'PS O-30:1', 'PS O-31:1', 'PS O-32:1', 'PS O-33:1', 'PS O-34:1', 'PS O-35:1', 'PS O-36:1', 'PS O-37:1', 'PS O-38:1', 'PS O-39:1', 'PS O-40:1', 'PS O-32:1', 'PS O-33:1', 'PS O-34:1', 'PS O-35:1', 'PS O-36:1', 'PS O-37:1', 'PS O-38:1', 'PS O-39:1', 'PS O-40:1', 'PS O-41:1', 'PS O-42:1']"
Dialkylglycerophosphoserines [GP0304],Glycerophospholipids [GP],Glycerophosphoserines [GP03],0.6493,1,PS dO-X:8,['PS dO-40:8']
Diacylglycerophosphoserines [GP0301],Glycerophospholipids [GP],Glycerophosphoserines [GP03],0.6838,124,PS X:0,"['PS 25:0', 'PS 12:0', 'PS 16:0', 'PS 20:0', 'PS 24:0', 'PS 28:0', 'PS 32:0', 'PS 36:0', 'PS 36:0', 'PS 27:0', 'PS 29:0', 'PS 31:0', 'PS 33:0', 'PS 25:0', 'PS 27:0', 'PS 29:0', 'PS 31:0', 'PS 35:0', 'PS 27:0', 'PS 31:0', 'PS 33:0', 'PS 35:0', 'PS 27:0', 'PS 29:0', 'PS 35:0', 'PS 37:0', 'PS 29:0', 'PS 37:0', 'PS 29:0', 'PS 31:0', 'PS 33:0', 'PS 36:0', 'PS 38:0', 'PS 39:0', 'PS 31:0', 'PS 33:0', 'PS 35:0', 'PS 37:0', 'PS 39:0', 'PS 36:0', 'PS 39:0', 'PS 40:0', 'PS 41:0', 'PS 35:0', 'PS 37:0', 'PS 39:0', 'PS 41:0', 'PS 36:0', 'PS 37:0', 'PS 38:0', 'PS 40:0', 'PS 41:0', 'PS 43:0', 'PS 37:0', 'PS 38:0', 'PS 39:0', 'PS 41:0', 'PS 42:0', 'PS 43:0', 'PS 40:0', 'PS 36:0', 'PS 35:0', 'PS 34:0', 'PS 42:0', 'PS 39:0', 'PS 35:0', 'PS 34:0', 'PS 33:0', 'PS 40:0', 'PS 36:0', 'PS 34:0', 'PS 33:0', 'PS 32:0', 'PS 38:0', 'PS 37:0', 'PS 34:0', 'PS 33:0', 'PS 32:0', 'PS 31:0', 'PS 34:0', 'PS 30:0', 'PS 35:0', 'PS 34:0', 'PS 32:0', 'PS 30:0', 'PS 34:0', 'PS 33:0', 'PS 31:0', 'PS 36:0', 'PS 34:0', 'PS 33:0', 'PS 32:0', 'PS 31:0', 'PS 28:0', 'PS 36:0', 'PS 34:0', 'PS 32:0', 'PS 29:0', 'PS 26:0', 'PS 34:0', 'PS 33:0', 'PS 32:0', 'PS 30:0', 'PS 28:0', 'PS 34:0', 'PS 32:0', 'PS 30:0', 'PS 28:0', 'PS 44:0', 'PS 42:0', 'PS 38:0', 'PS 35:0', 'PS 38:0', 'PS 37:0', 'PS 38:0', 'PS 35:0', 'PS 30:0', 'PS 26:0', 'PS 26:0', 'PS 40:0', 'PS 32:0', 'PS 28:0', 'PS 30:0', 'PS 30:0']"
Oxidized glycerophosphoserines [GP2004],Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],0.6474,3,PS X:1;O,"['PS 25:1;O', 'PS 21:1;O', 'PS 20:1;O']"
Oxidized glycerophosphoserines [GP2004],Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],0.6245,3,PS X:1;O2,"['PS 25:1;O2', 'PS 21:1;O2', 'PS 20:1;O2']"
Oxidized glycerophosphoserines [GP2004],Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],0.5881,3,PS X:2;O3,"['PS 28:2;O3', 'PS 24:2;O3', 'PS 23:2;O3']"
Diacylglycerophosphoserines [GP0301],Glycerophospholipids [GP],Glycerophosphoserines [GP03],0.634,1,PS-NAc X:1,['PS-NAc 36:1']
Diacylglycerophosphothreonines [GP2401],Glycerophospholipids [GP],Glycerophosphothreonines [GP24],0.6704,1,PT X:1,['PT 36:1']
Short fatty esters [FA0710],Fatty Acyls [FA],Fatty esters [FA07],0.9541,126,SFE X:0,"['SFE 15:0', 'SFE 7:0', 'SFE 8:0', 'SFE 9:0', 'SFE 11:0', 'SFE 10:0', 'SFE 11:0', 'SFE 12:0', 'SFE 13:0', 'SFE 15:0', 'SFE 14:0', 'SFE 15:0', 'SFE 17:0', 'SFE 16:0', 'SFE 17:0', 'SFE 18:0', 'SFE 19:0', 'SFE 20:0', 'SFE 22:0', 'SFE 24:0', 'SFE 26:0', 'SFE 11:0', 'SFE 13:0', 'SFE 4:0', 'SFE 5:0', 'SFE 6:0', 'SFE 9:0', 'SFE 13:0', 'SFE 17:0', 'SFE 21:0', 'SFE 7:0', 'SFE 8:0', 'SFE 10:0', 'SFE 12:0', 'SFE 13:0', 'SFE 14:0', 'SFE 15:0', 'SFE 16:0', 'SFE 17:0', 'SFE 18:0', 'SFE 19:0', 'SFE 20:0', 'SFE 22:0', 'SFE 24:0', 'SFE 26:0', 'SFE 28:0', 'SFE 7:0', 'SFE 8:0', 'SFE 10:0', 'SFE 9:0', 'SFE 10:0', 'SFE 11:0', 'SFE 12:0', 'SFE 13:0', 'SFE 14:0', 'SFE 15:0', 'SFE 16:0', 'SFE 17:0', 'SFE 18:0', 'SFE 18:0', 'SFE 19:0', 'SFE 24:0', 'SFE 16:0', 'SFE 15:0', 'SFE 17:0', 'SFE 17:0', 'SFE 6:0', 'SFE 7:0', 'SFE 9:0', 'SFE 7:0', 'SFE 10:0', 'SFE 10:0', 'SFE 11:0', 'SFE 18:0', 'SFE 5:0', 'SFE 11:0', 'SFE 21:0', 'SFE 7:0', 'SFE 9:0', 'SFE 8:0', 'SFE 9:0', 'SFE 6:0', 'SFE 11:0', 'SFE 11:0', 'SFE 15:0', 'SFE 11:0', 'SFE 7:0', 'SFE 15:0', 'SFE 19:0', 'SFE 9:0', 'SFE 17:0', 'SFE 15:0', 'SFE 12:0', 'SFE 16:0', 'SFE 11:0', 'SFE 22:0', 'SFE 9:0', 'SFE 15:0', 'SFE 8:0', 'SFE 10:0', 'SFE 8:0', 'SFE 8:0', 'SFE 8:0', 'SFE 6:0', 'SFE 11:0', 'SFE 7:0', 'SFE 20:0', 'SFE 13:0', 'SFE 6:0', 'SFE 7:0', 'SFE 6:0', 'SFE 7:0', 'SFE 8:0', 'SFE 8:0', 'SFE 10:0', 'SFE 6:0', 'SFE 9:0', 'SFE 11:0', 'SFE 9:0', 'SFE 9:0', 'SFE 8:0', 'SFE 10:0', 'SFE 8:0', 'SFE 21:0', 'SFE 20:0', 'SFE 15:0']"
